n,steps,method,localSize,time
4096,100,kernel_3_global-memory_2D.ptx,100,0.161644
4096,100,kernel_3_global-memory_2D.ptx,128,0.155791
128,1000,kernel_3_global-memory_2D.ptx,32,0.119278
128,1000,kernel_3_global-memory_2D.ptx,64,0.117973
128,1000,kernel_3_global-memory_2D.ptx,70,0.115602
128,1000,kernel_3_global-memory_2D.ptx,96,0.117737
128,1000,kernel_3_global-memory_2D.ptx,100,0.1166
128,1000,kernel_3_global-memory_2D.ptx,128,0.116588
256,1000,kernel_3_global-memory_2D.ptx,32,0.137602
256,1000,kernel_3_global-memory_2D.ptx,64,0.136884
256,1000,kernel_3_global-memory_2D.ptx,70,0.137146
256,1000,kernel_3_global-memory_2D.ptx,96,0.139616
256,1000,kernel_3_global-memory_2D.ptx,100,0.136557
256,1000,kernel_3_global-memory_2D.ptx,128,0.134416
512,1000,kernel_3_global-memory_2D.ptx,32,0.178121
512,1000,kernel_3_global-memory_2D.ptx,64,0.178369
512,1000,kernel_3_global-memory_2D.ptx,70,0.177446
512,1000,kernel_3_global-memory_2D.ptx,96,0.177238
512,1000,kernel_3_global-memory_2D.ptx,100,0.178767
512,1000,kernel_3_global-memory_2D.ptx,128,0.177724
1024,1000,kernel_3_global-memory_2D.ptx,32,0.264035
1024,1000,kernel_3_global-memory_2D.ptx,64,0.260539
1024,1000,kernel_3_global-memory_2D.ptx,70,0.262271
1024,1000,kernel_3_global-memory_2D.ptx,96,0.260481
1024,1000,kernel_3_global-memory_2D.ptx,100,0.261821
1024,1000,kernel_3_global-memory_2D.ptx,128,0.26039
2048,1000,kernel_3_global-memory_2D.ptx,32,0.423931
2048,1000,kernel_3_global-memory_2D.ptx,64,0.425861
2048,1000,kernel_3_global-memory_2D.ptx,70,0.424484
2048,1000,kernel_3_global-memory_2D.ptx,96,0.428996
2048,1000,kernel_3_global-memory_2D.ptx,100,0.426972
2048,1000,kernel_3_global-memory_2D.ptx,128,0.428691
4096,1000,kernel_3_global-memory_2D.ptx,32,0.754953
4096,1000,kernel_3_global-memory_2D.ptx,64,0.762471
4096,1000,kernel_3_global-memory_2D.ptx,70,0.762054
4096,1000,kernel_3_global-memory_2D.ptx,96,0.753399
4096,1000,kernel_3_global-memory_2D.ptx,100,0.789207
4096,1000,kernel_3_global-memory_2D.ptx,128,0.760384
128,10,kernel_4_shared-memory_2D.ptx,32,0.0907009
128,10,kernel_4_shared-memory_2D.ptx,64,0.0895698
128,10,kernel_4_shared-memory_2D.ptx,70,0.0890132
128,10,kernel_4_shared-memory_2D.ptx,96,0.0909607
128,10,kernel_4_shared-memory_2D.ptx,100,0.0879941
128,10,kernel_4_shared-memory_2D.ptx,128,0.0907065
256,10,kernel_4_shared-memory_2D.ptx,32,0.0902939
256,10,kernel_4_shared-memory_2D.ptx,64,0.0907692
256,10,kernel_4_shared-memory_2D.ptx,70,0.0901358
256,10,kernel_4_shared-memory_2D.ptx,96,0.0892262
256,10,kernel_4_shared-memory_2D.ptx,100,0.089243
256,10,kernel_4_shared-memory_2D.ptx,128,0.0895171
512,10,kernel_4_shared-memory_2D.ptx,32,0.0911504
512,10,kernel_4_shared-memory_2D.ptx,64,0.0893306
512,10,kernel_4_shared-memory_2D.ptx,70,0.0918633
512,10,kernel_4_shared-memory_2D.ptx,96,0.0913357
512,10,kernel_4_shared-memory_2D.ptx,100,0.0912884
512,10,kernel_4_shared-memory_2D.ptx,128,0.0908849
1024,10,kernel_4_shared-memory_2D.ptx,32,0.0932146
1024,10,kernel_4_shared-memory_2D.ptx,64,0.09471
1024,10,kernel_4_shared-memory_2D.ptx,70,0.0919195
1024,10,kernel_4_shared-memory_2D.ptx,96,0.0919156
1024,10,kernel_4_shared-memory_2D.ptx,100,0.0878913
1024,10,kernel_4_shared-memory_2D.ptx,128,0.0921058
2048,10,kernel_4_shared-memory_2D.ptx,32,0.0912684
2048,10,kernel_4_shared-memory_2D.ptx,64,0.0923769
2048,10,kernel_4_shared-memory_2D.ptx,70,0.0942107
2048,10,kernel_4_shared-memory_2D.ptx,96,0.0981254
2048,10,kernel_4_shared-memory_2D.ptx,100,0.0957029
2048,10,kernel_4_shared-memory_2D.ptx,128,0.0984162
4096,10,kernel_4_shared-memory_2D.ptx,32,0.0978981
4096,10,kernel_4_shared-memory_2D.ptx,64,0.0968834
4096,10,kernel_4_shared-memory_2D.ptx,70,0.0968846
4096,10,kernel_4_shared-memory_2D.ptx,96,0.0976114
4096,10,kernel_4_shared-memory_2D.ptx,100,0.0962833
4096,10,kernel_4_shared-memory_2D.ptx,128,0.0984962
128,100,kernel_4_shared-memory_2D.ptx,32,0.0974681
128,100,kernel_4_shared-memory_2D.ptx,64,0.095321
128,100,kernel_4_shared-memory_2D.ptx,70,0.096702
128,100,kernel_4_shared-memory_2D.ptx,96,0.0925868
128,100,kernel_4_shared-memory_2D.ptx,100,0.0929472
128,100,kernel_4_shared-memory_2D.ptx,128,0.0930508
256,100,kernel_4_shared-memory_2D.ptx,32,0.0944742
256,100,kernel_4_shared-memory_2D.ptx,64,0.0928235
256,100,kernel_4_shared-memory_2D.ptx,70,0.094859
256,100,kernel_4_shared-memory_2D.ptx,96,0.0933444
256,100,kernel_4_shared-memory_2D.ptx,100,0.0941894
256,100,kernel_4_shared-memory_2D.ptx,128,0.0946647
512,100,kernel_4_shared-memory_2D.ptx,32,0.100036
512,100,kernel_4_shared-memory_2D.ptx,64,0.0964304
512,100,kernel_4_shared-memory_2D.ptx,70,0.0980323
512,100,kernel_4_shared-memory_2D.ptx,96,0.0991334
512,100,kernel_4_shared-memory_2D.ptx,100,0.0978126
512,100,kernel_4_shared-memory_2D.ptx,128,0.0998308
1024,100,kernel_4_shared-memory_2D.ptx,32,0.105641
1024,100,kernel_4_shared-memory_2D.ptx,64,0.105167
1024,100,kernel_4_shared-memory_2D.ptx,70,0.104463
1024,100,kernel_4_shared-memory_2D.ptx,96,0.104451
1024,100,kernel_4_shared-memory_2D.ptx,100,0.106101
1024,100,kernel_4_shared-memory_2D.ptx,128,0.104778
2048,100,kernel_4_shared-memory_2D.ptx,32,0.120631
2048,100,kernel_4_shared-memory_2D.ptx,64,0.11773
2048,100,kernel_4_shared-memory_2D.ptx,70,0.119854
2048,100,kernel_4_shared-memory_2D.ptx,96,0.118846
2048,100,kernel_4_shared-memory_2D.ptx,100,0.122909
2048,100,kernel_4_shared-memory_2D.ptx,128,0.123021
4096,100,kernel_4_shared-memory_2D.ptx,32,0.152621
4096,100,kernel_4_shared-memory_2D.ptx,64,0.150562
4096,100,kernel_4_shared-memory_2D.ptx,70,0.149063
4096,100,kernel_4_shared-memory_2D.ptx,96,0.155067
4096,100,kernel_4_shared-memory_2D.ptx,100,0.151321
4096,100,kernel_4_shared-memory_2D.ptx,128,0.14991
128,1000,kernel_4_shared-memory_2D.ptx,32,0.116714
128,1000,kernel_4_shared-memory_2D.ptx,64,0.11774
128,1000,kernel_4_shared-memory_2D.ptx,70,0.114038
128,1000,kernel_4_shared-memory_2D.ptx,96,0.113871
128,1000,kernel_4_shared-memory_2D.ptx,100,0.11597
128,1000,kernel_4_shared-memory_2D.ptx,128,0.115538
256,1000,kernel_4_shared-memory_2D.ptx,32,0.131922
256,1000,kernel_4_shared-memory_2D.ptx,64,0.130583
256,1000,kernel_4_shared-memory_2D.ptx,70,0.129105
256,1000,kernel_4_shared-memory_2D.ptx,96,0.133013
256,1000,kernel_4_shared-memory_2D.ptx,100,0.131572
256,1000,kernel_4_shared-memory_2D.ptx,128,0.131586
512,1000,kernel_4_shared-memory_2D.ptx,32,0.167968
512,1000,kernel_4_shared-memory_2D.ptx,64,0.166608
512,1000,kernel_4_shared-memory_2D.ptx,70,0.16562
512,1000,kernel_4_shared-memory_2D.ptx,96,0.167719
512,1000,kernel_4_shared-memory_2D.ptx,100,0.169259
512,1000,kernel_4_shared-memory_2D.ptx,128,0.167839
1024,1000,kernel_4_shared-memory_2D.ptx,32,0.242342
1024,1000,kernel_4_shared-memory_2D.ptx,64,0.239121
1024,1000,kernel_4_shared-memory_2D.ptx,70,0.239688
1024,1000,kernel_4_shared-memory_2D.ptx,96,0.238221
1024,1000,kernel_4_shared-memory_2D.ptx,100,0.240473
1024,1000,kernel_4_shared-memory_2D.ptx,128,0.240914
2048,1000,kernel_4_shared-memory_2D.ptx,32,0.390394
2048,1000,kernel_4_shared-memory_2D.ptx,64,0.38046
2048,1000,kernel_4_shared-memory_2D.ptx,70,0.381147
2048,1000,kernel_4_shared-memory_2D.ptx,96,0.380877
2048,1000,kernel_4_shared-memory_2D.ptx,100,0.384897
2048,1000,kernel_4_shared-memory_2D.ptx,128,0.38336
4096,1000,kernel_4_shared-memory_2D.ptx,32,0.710783
4096,1000,kernel_4_shared-memory_2D.ptx,64,0.670081
4096,1000,kernel_4_shared-memory_2D.ptx,70,0.671517
4096,1000,kernel_4_shared-memory_2D.ptx,96,0.71039
4096,1000,kernel_4_shared-memory_2D.ptx,100,0.705072
4096,1000,kernel_4_shared-memory_2D.ptx,128,0.672316
